date,followers,retweetcount,text,year,month,day,initial_character_lenght,most_frequent_word,most_frequent_bigramm
2022-06-28 14:27:32+00:00,230,228,"στιγμιότυπο από τη χειρότερη ανθρωπιστική κρίση του 21ου αιώνα.. υεμένη και πάλι, δεν θα ξεχάσουμε να αναφέρουμε αυτά τα παιδιά ποτε! 

#yemencantwait #yemen #biden #bidenisafailure #ukraine #russia #natosummit #nato #νδ_αλητες #αμβλωσεις https://t.co/4qs6ttfycg",2022,6,28,262,στιγμιότυπο,"στιγμιότυπο,από"
2022-06-28 14:18:37+00:00,1128,30,ο δρ λεβατίνο που έχει πραγματοποιήσει περισσότερες από 1.200 εκτρώσεις περιγράφει τον φρικτό τρόπο με τον οποίο πρώτα διαμέλιζε το μωρό και εν συνεχεία ένωνε τα μέλη του σώματος του για να βεβαιωθεί ότι τα έχει αφαιρέσει όλα από την μήτρα. #αμβλωσεις #roevwade #εκτρωσεις #φονος https://t.co/lqdsmjnjpy,2022,6,28,303,έχει,"δρ,λεβατίνο"
2022-06-28 14:17:33+00:00,3020,0,μητροπολίτης πειραιώς: σε τι διαφέρουν οι αμβλώσεις από τα εγκλήματα παιδοκτονίας που φέρεται ότι διέπραξε η προφυλακισμένη μητέρα; https://t.co/d6t7dyyd4h,2022,6,28,155,μητροπολίτης,"μητροπολίτης,πειραιώς"
2022-06-28 14:13:30+00:00,946,2,"η άποψη της ελληνικής λύσης για αμβλώσεις είναι λανθασμένη. δημοψήφισμα δεν καταργεί μια βασική ατομική ελευθερία. οι γυναίκες, τα ζευγάρια, πρέπει να απολαμβάνουν πλήρως το δικαίωμά τους να αποφασίζουν για τη ζωη τους ανάλογα με τις ανάγκες και τις πεποιθήσεις τους #βουλή",2022,6,28,273,τους,"άποψη,της"
2022-06-28 14:09:35+00:00,26458,2,"η άποψη της ελληνικής λύσης για αμβλώσεις είναι λανθασμένη. δημοψήφισμα δεν καταργεί μια βασική ατομική ελευθερία. οι γυναίκες, τα ζευγάρια, πρέπει να απολαμβάνουν πλήρως το δικαίωμά τους να αποφασίζουν για τη ζωη τους ανάλογα με τις ανάγκες και τις πεποιθήσεις τους #βουλή",2022,6,28,273,τους,"άποψη,της"
2022-06-28 14:06:35+00:00,5265,1,"είστε υπέρ ή κατά των αμβλώσεων και γιατί?| αν είναι άλλοι οι λόγοι, ευχαρίστως γράφεται στα σχόλια.
#αμβλωσεις #εκτρωση #εκτρωσεις 
#greekpolls_gr",2022,6,28,147,είστε,"είστε,υπέρ"
2022-06-28 13:58:17+00:00,170,2,"το ""κίνημα"" περιγράφεται με τέσσερεις λέξεις. οι ίδιες ακριβώς περιγράφουν και τη χρεοκοπία του : 
           μητριαρχια χωρις μητρικο ενστικτο
#αμβλωσεις https://t.co/vkvedmfivw",2022,6,28,178,κίνημα,"κίνημα,περιγράφεται"
2022-06-28 13:47:12+00:00,682,91,ρε μαλάκες γαμω το μυαλό σας μορφωθείτε....η έκτρωση δεν γίνεται στον 8ο μήνα... γίνεται στις αρχές που είναι απλά γαμημενα κύτταρα!! όταν όλοι οι ελληναραδες τραβάτε μαλάκια δηλαδή κάνετε γενοκτονία;;; ασταδιαλα πχια #αμβλωσεις #cancel_εκτρωσεις https://t.co/9ls0c3niov,2022,6,28,270,γίνεται,"ρε,μαλάκες"
2022-06-28 13:39:59+00:00,5668,1,"από την αμερική και τις αμβλώσεις, στην ελλάδα του κορκονεα και του μιχαηλίδη, η δικαιοσύνη (κατα)δικάζει ταξικά, πολιτικά και ρατσιστικά, βρωμάει από την σηψη, θέλει κάψιμο συνθέμελα",2022,6,28,183,από,"από,αμερική"
2022-06-28 13:37:51+00:00,650,1,"από την αμερική και τις αμβλώσεις, στην ελλάδα του κορκονεα και του μιχαηλίδη, η δικαιοσύνη (κατα)δικάζει ταξικά, πολιτικά και ρατσιστικά, βρωμάει από την σηψη, θέλει κάψιμο συνθέμελα",2022,6,28,183,από,"από,αμερική"
2022-06-28 13:21:46+00:00,3732,0,"@khlysty1 κάτι παρόμοιο έγινε πριν λίγες μέρες στην αμερική με τις αμβλώσεις &amp; ξεσηκώθηκαν όλοι.
ήταν όμως οι 4 από αυτούς ήδη ενταγμένοι από τον τραμπ. 
άρα μη την ψάχνεις το τι γίνεται από πίσω.
και μην έχεις την εντύπωση ότι αν ήταν κάποια αλλη κυβέρνηση θα άλλαζε κάτι..!!",2022,6,28,280,από,"κάτι,παρόμοιο"
2022-06-28 13:15:25+00:00,858,122,"τόσα χρόνια μας σπάσατε την πουτσα να πάμε κούβα η εσσδ, εσείς που δεν θέλετε αμβλώσεις γιατί δεν ξεκουμπιζεστε να πάτε ηπα να πλένετε πιάτα σε greek taverna στο αστόρια. έχουν και καπιταλισμό εκεί. τσακιδια",2022,6,28,207,τόσα,"τόσα,χρόνια"
2022-06-28 13:14:46+00:00,252,579,"τον ιανουάριο του 1692, ο αιδεσιμότατος samuel parris βλέπει την 9 ετών κόρη του elizabeth και την 11 ετών ξαδέρφη της abigail να πετάνε πράγματα και να βγάζουν περίεργες κραυγές.

ο parris είναι δήμαρχος ενός χωριού ονόματι σάλεμ.

#αμβλωσεις #roevwade 
1/",2022,6,28,257,ετών,"ιανουάριο,αιδεσιμότατος"
2022-06-28 13:11:54+00:00,727,0,πόλεμος δικαστών στις ηπα για τις αμβλώσεις https://t.co/1mpjoibsjl,2022,6,28,67,πόλεμος,"πόλεμος,δικαστών"
2022-06-28 13:10:28+00:00,2574,0,"@avrailas δεν συμφωνώ. 
➡️με αυτή την λογική πάνε και οι αμβλώσεις και όλα. 
➡️όποιος δεν πηγαίνει με το κυρίαρχο ρεύμα θα είναι ψεκας από κ πέρα. 
➡️και αν δεν είναι αυτό αρχή φασισμού κ ολοκληρωτισμού τότε τι είναι...
➡️θέλει προσοχή ποιον χαρακτηριζουμε ψεκα",2022,6,28,261,είναι,"συμφωνώ,➡️με"
2022-06-28 13:03:29+00:00,9197,1,παραλήρημα ιερέα για αμβλώσεις: «καλύτερα να γεννήσουν το παιδί &amp; μετά να το σκοτώσουν» https://t.co/5vxozgzrhf,2022,6,28,115,παραλήρημα,"παραλήρημα,ιερέα"
2022-06-28 13:00:13+00:00,99556,0,κόντρα τσακαλώτου - βελόπουλου μετά την απόφαση των ηπα για τις αμβλώσεις https://t.co/cthovuos89 https://t.co/fabb646zql,2022,6,28,121,κόντρα,"κόντρα,τσακαλώτου"
2022-06-28 12:55:30+00:00,289,0,🎀😊💕🤗good evening. at least #good news. bless you all.ποιες χώρες έχουν αυστηροποιήσει τους νόμους για τις αμβλώσεις; αυτές οι τέσσερις https://t.co/hlk9vkaofj,2022,6,28,158,🎀😊💕🤗,"🎀😊💕🤗,ποιες"
2022-06-28 12:50:31+00:00,98,228,"στιγμιότυπο από τη χειρότερη ανθρωπιστική κρίση του 21ου αιώνα.. υεμένη και πάλι, δεν θα ξεχάσουμε να αναφέρουμε αυτά τα παιδιά ποτε! 

#yemencantwait #yemen #biden #bidenisafailure #ukraine #russia #natosummit #nato #νδ_αλητες #αμβλωσεις https://t.co/4qs6ttfycg",2022,6,28,262,στιγμιότυπο,"στιγμιότυπο,από"
2022-06-28 12:48:15+00:00,311,96,"μπορεί να σας σοκάρω αλλά στις εξωσωματικες εμφυτευουν έμβρυα γνωρίζοντας ότι κάποια η όλα δεν θα επιβιώσουν, επίσης μπορει να δημιουργηθουν έμβρυα που δεν θα μεταφερθουν ποτε στην μήτρα γιατί θα θεωρηθούν ακατάλληλα , τι λέτε για αυτό ; #αμβλωσεις",2022,6,28,248,έμβρυα,"μπορεί,σας"
2022-06-28 12:47:22+00:00,8,531,"το ανώτατο δικαστήριο των ηπα αποτελείται από 9 μέλη.

3 μέλη τα διόρισε ο τραμπ στη θητεία του. από τους υπόλοιπους, οι 3 είναι democrats, οι 2 republicans (ο ένας εξ αυτών είναι ο chief justice).

και ο ένας από αυτούς είναι ο clarence thomas.

#αμβλωσεις #roevswade 
1/",2022,6,28,272,από,"είναι,ένας"
2022-06-28 12:43:12+00:00,36,4,"στεκόμαστε στο πλευρό των γυναικών στην αμερική. αγωνιζόμαστε για την κατοχύρωση του δικαιώματος στην ασφαλή, δωρεάν και νόμιμη άμβλωση για όλες, για την αναγνώριση των αναπαραγωγικών και σεξουαλικών δικαιωμάτων μας, για να αποφασίζουμε οι ίδιες για το σώμα μας. #αμβλώσεις",2022,6,28,273,μας,"στεκόμαστε,πλευρό"
2022-06-28 12:40:35+00:00,11,0,"είστε υπέρ ή κατά των αμβλώσεων;

#δημοσκοπηση
#αμβλωσεις 

κάντε retweet να φτάσει χιλιάδες ψήφους",2022,6,28,99,είστε,"είστε,υπέρ"
2022-06-28 12:38:12+00:00,11,0,"πειραιώς ""ανθρώπινο δικαίωμα είναι να βγουν και τα έμβρυα στον κόσμο""!  έτσι ακριβώς! επίσης, δικαίωμα μας είναι να κάνουμε και το εμβόλιο στο σώμα μας !
""το έμβρυο άσχετος που δεν έχει μυαλό, έχει ψυχή και καρδιά "" μέγας βασίλειος.
αμβλώσεις=δολοφονίες
προφυλακτικααα
#αμβλωσεις",2022,6,28,279,δικαίωμα,"πειραιώς,ανθρώπινο"
2022-06-28 12:35:13+00:00,24296,0,μεσαίωνας-αμβλώσεις: 1-0 https://t.co/yrkxwgg2dz,2022,6,28,48,μεσαίωναςαμβλώσεις,no bigramms
2022-06-28 12:28:38+00:00,6034,1,"φραν λίμποβιτς: αν οι άντρες κυοφορούσαν, θα μοίραζαν τις αμβλώσεις δωρεάν στον δρόμο https://t.co/ne6x1od3dn https://t.co/ygiu6olybg",2022,6,28,133,φραν,"φραν,λίμποβιτς"
2022-06-28 12:25:32+00:00,1345,12,"για τις αμβλώσεις δε δέχονται ελαφρυντικά για τις εν ψυχρώ δολοφονίες ανηλίκων, όμως, δέχονται.",2022,6,28,95,δέχονται,"αμβλώσεις,δέχονται"
