date,followers,retweetcount,text,year,month,day,initial_character_lenght,most_frequent_word,most_frequent_bigramm
2022-07-01 21:58:56,8607,3,"oι αμερικανικές εταιρίες-κολοσσοί που θα καλύπτουν τα έξοδα μετακίνησης των εργαζομένων για άμβλωση. η disney, η jp morgan και η ιδιοκτήτρια του facebook, meta, είπαν στο προσωπικό ότι θα καλύψουν τα έξοδα ταξιδιού των εργαζομένων για τις αμβλώσεις

https://t.co/sugbapg4mi https://t.co/z1vrcjfgin",2022,7,1,297,έξοδα,"ι,αμερικανικές"
2022-07-01 21:42:33,9114,3,"oι αμερικανικές εταιρίες-κολοσσοί που θα καλύπτουν τα έξοδα μετακίνησης των εργαζομένων για άμβλωση. η disney, η jp morgan και η ιδιοκτήτρια του facebook, meta, είπαν στο προσωπικό ότι θα καλύψουν τα έξοδα ταξιδιού των εργαζομένων για τις αμβλώσεις

https://t.co/sugbapg4mi https://t.co/z1vrcjfgin",2022,7,1,297,έξοδα,"ι,αμερικανικές"
2022-07-01 21:28:26,72,10,"για την απόφαση του ανώτατου δικαστηρίου σχετικά με τις #αμβλώσεις στην αμερικη ξεσηκώθηκε το ελληνικο πολιτικο συστημα.
για την απόφαση του ανώτατου δικαστηρίου της ελλαδας να μην προστατέψει τα προνόμια των #πολυτέκνων..σιγή.",2022,7,1,227,απόφαση,"απόφαση,ανώτατου"
2022-07-01 21:18:21,1263,5,"""μαζί με την απαγόρευση των αμβλώσεων πέρασε και η ακόμα μεγαλύτερη ελευθερία οπλοφορίας, αφού κρίθηκε αντισυνταγματικός ο περιορισμός της οπλοφορίας σε δημόσιους χώρους, ένας από τους πιο παλιούς νόμους της πολιτείας της νέας υόρκης.""
#αμβλώσεις #ηπα 
https://t.co/sjw7c2mc3a",2022,7,1,276,της,"μαζί,απαγόρευση"
2022-07-01 21:13:27,547,62,"όσοι διαμαρτυρηθήκατε  για τις αμβλώσεις στην αμερική ( οι οποιες δεν απαγορεύθηκαν) αλλά εδώ δεν βγάζετε άχνα για το πρόστιμο για τους 60+ που δεν θέλουν να κάνουν ένα αναποτελεσματικό εμβόλιο με χιλιες δυο παρενέργειες, είστε  και υποκριτές και μαλακες . σορρυ νοτ σορρυ.",2022,7,1,273,σορρυ,"όσοι,διαμαρτυρηθήκατε"
2022-07-01 20:53:20,710,65,"απαγορεύτηκαν οι αμβλώσεις σε 25 πολιτείες των ηπα.
μας έσπασαν τα αρχίδια 20 χρόνια με τους ταλιμπάν και τελικά έγιναν χειρότεροι.",2022,7,1,131,απαγορεύτηκαν,"απαγορεύτηκαν,αμβλώσεις"
2022-07-01 20:34:32,6805,68,βαρύ πράμα το μυαλό και θέτε και να το κουβαλάμε και να το λαδώνουμε και να το δουλεύουμε δηλαδή ααα δεν ξέρω κουράζομαι κάτσε να δω τι λέει ο σκάι για τις αμβλώσεις,2022,7,1,165,βαρύ,"βαρύ,πράμα"
2022-07-01 20:31:36,349,62,"όσοι διαμαρτυρηθήκατε  για τις αμβλώσεις στην αμερική ( οι οποιες δεν απαγορεύθηκαν) αλλά εδώ δεν βγάζετε άχνα για το πρόστιμο για τους 60+ που δεν θέλουν να κάνουν ένα αναποτελεσματικό εμβόλιο με χιλιες δυο παρενέργειες, είστε  και υποκριτές και μαλακες . σορρυ νοτ σορρυ.",2022,7,1,273,σορρυ,"όσοι,διαμαρτυρηθήκατε"
2022-07-01 20:08:04,1005,657,"380€ ενοίκιο , 20€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 900€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,163,ενοίκιο,"ενοίκιο,κοινόχρηστα"
2022-07-01 20:05:35,321621,0,"📚 ο fabio stassi «συνταγογραφεί» βιβλία για τον πόλεμο στην ουκρανία και τις αμβλώσεις στις ηπα.
του κώστα κυριακόπουλου 

https://t.co/7u3xdodcdm",2022,7,1,146,📚,"📚,συνταγογραφεί"
